"rideable_type","member_casual","minutes_by_group","day_of_week","month","hour_of_day"
"classic_bike","member","10 to 30 min.","Wednesday","June",12
"electric_bike","casual","up to 10 min.","Friday","August",9
"electric_bike","casual","up to 10 min.","Wednesday","October",20
"electric_bike","member","up to 10 min.","Sunday","August",13
"classic_bike","casual","30 to 60 min.","Wednesday","July",15
"classic_bike","member","up to 10 min.","Wednesday","August",17
"electric_scooter","casual","up to 10 min.","Monday","September",13
"electric_bike","member","up to 10 min.","Saturday","January",18
"electric_bike","casual","up to 10 min.","Wednesday","April",17
"electric_bike","casual","up to 10 min.","Wednesday","November",7
"electric_bike","casual","10 to 30 min.","Saturday","September",17
"classic_bike","member","30 to 60 min.","Friday","July",7
"classic_bike","member","10 to 30 min.","Friday","April",18
"electric_bike","member","up to 10 min.","Saturday","January",20
"electric_bike","member","10 to 30 min.","Thursday","July",5
"electric_bike","member","10 to 30 min.","Monday","May",12
"classic_bike","casual","10 to 30 min.","Saturday","August",12
"electric_bike","member","up to 10 min.","Sunday","January",21
"classic_bike","casual","up to 10 min.","Saturday","June",15
"classic_bike","casual","10 to 30 min.","Monday","July",19
"electric_bike","member","up to 10 min.","Monday","July",13
"electric_bike","member","up to 10 min.","Thursday","September",17
"electric_bike","member","10 to 30 min.","Thursday","October",16
"electric_bike","member","10 to 30 min.","Wednesday","March",16
"electric_bike","casual","10 to 30 min.","Sunday","July",3
"electric_bike","member","10 to 30 min.","Wednesday","September",12
"classic_bike","casual","up to 10 min.","Sunday","June",14
"classic_bike","casual","over 60 min.","Saturday","September",10
"classic_bike","member","30 to 60 min.","Saturday","April",20
"classic_bike","member","up to 10 min.","Thursday","October",16
"electric_bike","casual","10 to 30 min.","Saturday","July",23
"classic_bike","member","up to 10 min.","Monday","March",17
"electric_bike","member","up to 10 min.","Thursday","September",17
"electric_bike","casual","30 to 60 min.","Friday","May",12
"electric_bike","member","10 to 30 min.","Thursday","May",13
"electric_bike","member","10 to 30 min.","Saturday","April",17
"classic_bike","member","30 to 60 min.","Wednesday","May",17
"electric_bike","member","up to 10 min.","Friday","July",18
"classic_bike","member","10 to 30 min.","Sunday","March",11
"classic_bike","casual","10 to 30 min.","Monday","June",12
"classic_bike","member","up to 10 min.","Sunday","October",14
"electric_bike","member","10 to 30 min.","Sunday","May",12
"electric_bike","member","up to 10 min.","Tuesday","December",7
"classic_bike","casual","up to 10 min.","Thursday","February",15
"classic_bike","member","10 to 30 min.","Thursday","October",17
"classic_bike","member","up to 10 min.","Thursday","October",18
"electric_bike","member","10 to 30 min.","Wednesday","October",17
"electric_bike","member","10 to 30 min.","Thursday","June",22
"classic_bike","member","10 to 30 min.","Sunday","September",11
"electric_bike","member","10 to 30 min.","Friday","August",19
"electric_bike","member","10 to 30 min.","Wednesday","September",8
"electric_bike","member","10 to 30 min.","Saturday","May",7
"classic_bike","member","up to 10 min.","Saturday","January",1
"classic_bike","member","10 to 30 min.","Sunday","July",16
"classic_bike","member","up to 10 min.","Tuesday","September",15
"classic_bike","member","10 to 30 min.","Wednesday","May",11
"electric_bike","casual","10 to 30 min.","Wednesday","May",17
"electric_bike","member","10 to 30 min.","Saturday","October",4
"classic_bike","member","up to 10 min.","Friday","November",11
"electric_bike","casual","10 to 30 min.","Friday","July",15
"classic_bike","member","up to 10 min.","Tuesday","October",5
"electric_bike","member","up to 10 min.","Tuesday","June",9
"electric_bike","casual","up to 10 min.","Monday","November",6
"classic_bike","casual","10 to 30 min.","Friday","July",13
"classic_bike","member","up to 10 min.","Monday","April",14
"classic_bike","casual","10 to 30 min.","Monday","June",10
"classic_bike","casual","over 60 min.","Tuesday","April",20
"electric_bike","member","10 to 30 min.","Saturday","August",13
"electric_bike","member","up to 10 min.","Sunday","June",15
"electric_bike","member","10 to 30 min.","Wednesday","August",21
"classic_bike","casual","10 to 30 min.","Friday","May",8
"electric_bike","member","30 to 60 min.","Friday","July",13
"classic_bike","member","up to 10 min.","Monday","December",15
"classic_bike","casual","up to 10 min.","Friday","March",18
"electric_bike","member","up to 10 min.","Sunday","December",15
"electric_bike","casual","up to 10 min.","Friday","October",8
"classic_bike","casual","10 to 30 min.","Sunday","September",0
"classic_bike","member","up to 10 min.","Saturday","September",5
"classic_bike","member","up to 10 min.","Wednesday","October",20
"electric_bike","member","10 to 30 min.","Sunday","April",14
"classic_bike","casual","up to 10 min.","Wednesday","July",19
"classic_bike","member","10 to 30 min.","Sunday","December",8
"electric_bike","member","up to 10 min.","Tuesday","July",20
"electric_bike","member","10 to 30 min.","Saturday","July",20
"classic_bike","member","10 to 30 min.","Tuesday","November",17
"electric_bike","member","up to 10 min.","Sunday","November",17
"electric_bike","member","up to 10 min.","Monday","January",9
"classic_bike","casual","10 to 30 min.","Wednesday","August",19
"classic_bike","member","10 to 30 min.","Wednesday","May",17
"electric_bike","casual","10 to 30 min.","Saturday","August",17
"electric_bike","casual","over 60 min.","Sunday","June",11
"classic_bike","member","up to 10 min.","Wednesday","July",19
"electric_bike","member","10 to 30 min.","Thursday","August",17
"classic_bike","casual","10 to 30 min.","Sunday","September",17
"classic_bike","member","10 to 30 min.","Friday","January",17
"electric_bike","casual","up to 10 min.","Saturday","August",8
"classic_bike","member","up to 10 min.","Saturday","January",13
"classic_bike","casual","10 to 30 min.","Monday","December",12
"classic_bike","member","10 to 30 min.","Sunday","June",11
"classic_bike","member","up to 10 min.","Monday","August",7
"electric_bike","member","10 to 30 min.","Monday","May",8
"classic_bike","member","30 to 60 min.","Wednesday","November",18
"electric_bike","member","up to 10 min.","Monday","November",16
"electric_bike","member","over 60 min.","Sunday","May",17
"electric_bike","member","up to 10 min.","Sunday","December",1
"classic_bike","casual","10 to 30 min.","Saturday","August",13
"electric_bike","casual","over 60 min.","Thursday","May",10
"classic_bike","member","up to 10 min.","Wednesday","December",7
"classic_bike","casual","10 to 30 min.","Wednesday","June",17
"classic_bike","member","up to 10 min.","Wednesday","May",21
"electric_bike","casual","up to 10 min.","Friday","July",15
"electric_bike","member","up to 10 min.","Sunday","May",10
"classic_bike","member","10 to 30 min.","Friday","November",9
"electric_bike","member","up to 10 min.","Tuesday","July",5
"electric_bike","member","up to 10 min.","Wednesday","March",18
"electric_bike","casual","up to 10 min.","Friday","March",9
"classic_bike","member","30 to 60 min.","Monday","November",13
"classic_bike","member","10 to 30 min.","Monday","June",14
"classic_bike","member","10 to 30 min.","Saturday","July",16
"classic_bike","member","up to 10 min.","Thursday","February",23
"electric_bike","member","10 to 30 min.","Monday","September",22
"electric_bike","member","up to 10 min.","Saturday","June",17
"electric_bike","member","10 to 30 min.","Friday","August",22
"electric_bike","casual","10 to 30 min.","Thursday","August",16
"classic_bike","member","up to 10 min.","Tuesday","October",12
"electric_bike","member","up to 10 min.","Sunday","November",11
"classic_bike","member","up to 10 min.","Wednesday","May",23
"classic_bike","member","up to 10 min.","Friday","April",17
"electric_bike","member","up to 10 min.","Thursday","April",20
"electric_bike","member","10 to 30 min.","Friday","May",18
"classic_bike","member","up to 10 min.","Thursday","November",16
"electric_bike","casual","up to 10 min.","Saturday","July",13
"electric_bike","member","10 to 30 min.","Tuesday","October",16
"electric_bike","casual","10 to 30 min.","Monday","April",19
"electric_bike","member","10 to 30 min.","Thursday","September",17
"electric_bike","casual","10 to 30 min.","Tuesday","July",7
"electric_bike","casual","30 to 60 min.","Monday","October",12
"classic_bike","member","up to 10 min.","Sunday","July",15
"electric_bike","casual","up to 10 min.","Sunday","October",12
"electric_bike","member","up to 10 min.","Thursday","June",23
"electric_bike","casual","up to 10 min.","Saturday","September",23
"electric_bike","member","10 to 30 min.","Saturday","September",10
"classic_bike","casual","up to 10 min.","Wednesday","July",15
"classic_bike","casual","10 to 30 min.","Friday","May",16
"classic_bike","casual","over 60 min.","Friday","July",14
"classic_bike","casual","10 to 30 min.","Friday","July",12
"electric_bike","casual","up to 10 min.","Monday","July",9
"classic_bike","member","up to 10 min.","Tuesday","July",17
"classic_bike","casual","10 to 30 min.","Friday","March",20
"electric_bike","casual","10 to 30 min.","Monday","May",14
"electric_bike","casual","10 to 30 min.","Wednesday","June",17
"electric_bike","member","up to 10 min.","Saturday","August",2
"electric_bike","member","up to 10 min.","Thursday","November",17
"electric_bike","member","up to 10 min.","Wednesday","November",12
"electric_bike","member","10 to 30 min.","Monday","July",16
"electric_bike","member","10 to 30 min.","Thursday","July",17
"electric_bike","casual","over 60 min.","Sunday","June",12
"electric_bike","member","up to 10 min.","Sunday","May",20
"electric_bike","casual","up to 10 min.","Tuesday","May",18
"classic_bike","member","up to 10 min.","Wednesday","December",20
"electric_bike","member","10 to 30 min.","Friday","July",15
"classic_bike","casual","up to 10 min.","Wednesday","March",13
"classic_bike","member","10 to 30 min.","Monday","October",11
"classic_bike","member","up to 10 min.","Thursday","September",6
"classic_bike","member","10 to 30 min.","Monday","January",17
"electric_bike","member","up to 10 min.","Monday","May",17
"classic_bike","member","10 to 30 min.","Sunday","March",15
"electric_bike","casual","10 to 30 min.","Thursday","June",15
"classic_bike","casual","10 to 30 min.","Saturday","May",12
"classic_bike","member","10 to 30 min.","Monday","October",16
"electric_bike","member","up to 10 min.","Monday","September",16
"electric_bike","member","up to 10 min.","Monday","August",14
"classic_bike","casual","over 60 min.","Saturday","September",21
"electric_bike","member","up to 10 min.","Friday","August",15
"electric_bike","member","10 to 30 min.","Thursday","August",16
"electric_bike","casual","up to 10 min.","Wednesday","October",8
"electric_bike","member","10 to 30 min.","Wednesday","October",8
"electric_bike","casual","up to 10 min.","Friday","August",19
"classic_bike","member","up to 10 min.","Thursday","February",5
"electric_bike","member","10 to 30 min.","Tuesday","April",19
"classic_bike","member","10 to 30 min.","Monday","August",16
"electric_bike","member","up to 10 min.","Tuesday","June",18
"electric_bike","member","10 to 30 min.","Wednesday","February",12
"classic_bike","member","10 to 30 min.","Friday","May",14
"electric_bike","member","up to 10 min.","Wednesday","November",6
"classic_bike","member","10 to 30 min.","Wednesday","August",20
"electric_bike","member","10 to 30 min.","Monday","August",7
"classic_bike","member","up to 10 min.","Saturday","June",17
"classic_bike","casual","up to 10 min.","Thursday","October",8
"classic_bike","casual","over 60 min.","Saturday","May",11
"classic_bike","member","10 to 30 min.","Friday","February",17
"classic_bike","member","up to 10 min.","Thursday","February",13
"classic_bike","member","10 to 30 min.","Sunday","September",22
"electric_bike","member","up to 10 min.","Friday","September",17
"electric_bike","member","up to 10 min.","Tuesday","June",14
"classic_bike","member","up to 10 min.","Wednesday","February",17
"classic_bike","casual","30 to 60 min.","Saturday","August",22
"electric_bike","member","up to 10 min.","Wednesday","June",22
"electric_bike","member","10 to 30 min.","Thursday","February",15
"classic_bike","casual","10 to 30 min.","Tuesday","July",23
"classic_bike","member","30 to 60 min.","Sunday","May",17
"electric_bike","member","10 to 30 min.","Sunday","September",12
"electric_bike","casual","10 to 30 min.","Friday","May",16
"electric_bike","casual","10 to 30 min.","Wednesday","July",18
