"rideable_type","member_casual","minutes_by_group","day_of_week","month","hour_of_day"
"electric_bike","member","10 to 30 min.","Monday","July",18
"electric_bike","casual","30 to 60 min.","Friday","May",18
"electric_bike","member","up to 10 min.","Monday","July",13
"classic_bike","member","up to 10 min.","Wednesday","September",21
"electric_bike","member","up to 10 min.","Sunday","January",20
"classic_bike","casual","30 to 60 min.","Tuesday","August",16
"electric_bike","casual","up to 10 min.","Wednesday","May",18
"classic_bike","casual","up to 10 min.","Monday","June",6
"electric_bike","member","10 to 30 min.","Friday","May",5
"electric_bike","casual","up to 10 min.","Thursday","May",18
"classic_bike","casual","10 to 30 min.","Thursday","June",8
"electric_bike","member","up to 10 min.","Friday","June",6
"classic_bike","member","up to 10 min.","Tuesday","May",10
"electric_scooter","casual","up to 10 min.","Monday","September",23
"electric_bike","member","10 to 30 min.","Tuesday","May",6
"classic_bike","member","up to 10 min.","Monday","July",12
"electric_bike","member","up to 10 min.","Tuesday","February",12
"classic_bike","member","up to 10 min.","Wednesday","September",15
"classic_bike","member","up to 10 min.","Sunday","May",18
"electric_bike","member","up to 10 min.","Tuesday","September",11
"classic_bike","casual","up to 10 min.","Sunday","September",12
"classic_bike","member","up to 10 min.","Thursday","August",6
"electric_bike","casual","10 to 30 min.","Wednesday","May",15
"electric_bike","member","up to 10 min.","Saturday","November",7
"classic_bike","casual","10 to 30 min.","Friday","July",2
"electric_bike","member","up to 10 min.","Tuesday","April",14
"classic_bike","casual","10 to 30 min.","Saturday","September",18
"classic_bike","casual","up to 10 min.","Saturday","September",20
"electric_bike","member","10 to 30 min.","Saturday","August",9
"classic_bike","casual","10 to 30 min.","Friday","October",7
"classic_bike","member","up to 10 min.","Saturday","July",21
"classic_bike","member","up to 10 min.","Wednesday","November",7
"classic_bike","member","up to 10 min.","Sunday","October",14
"classic_bike","casual","up to 10 min.","Tuesday","September",19
"electric_bike","member","10 to 30 min.","Tuesday","December",8
"classic_bike","member","over 60 min.","Friday","September",15
"electric_bike","member","up to 10 min.","Thursday","April",12
"electric_bike","casual","10 to 30 min.","Thursday","July",19
"classic_bike","member","30 to 60 min.","Monday","February",10
"classic_bike","casual","up to 10 min.","Saturday","October",14
"classic_bike","member","up to 10 min.","Monday","August",19
"classic_bike","member","up to 10 min.","Friday","May",8
"classic_bike","member","up to 10 min.","Friday","February",18
"electric_bike","member","up to 10 min.","Tuesday","July",15
"electric_bike","member","up to 10 min.","Monday","August",12
"classic_bike","member","10 to 30 min.","Sunday","July",20
"electric_bike","casual","up to 10 min.","Friday","December",20
"classic_bike","member","10 to 30 min.","Thursday","August",12
"classic_bike","member","10 to 30 min.","Wednesday","July",18
"classic_bike","casual","up to 10 min.","Wednesday","January",15
"electric_bike","member","10 to 30 min.","Tuesday","May",18
"electric_bike","casual","up to 10 min.","Thursday","August",16
"electric_bike","casual","10 to 30 min.","Sunday","July",12
"classic_bike","casual","10 to 30 min.","Saturday","April",16
"classic_bike","member","over 60 min.","Sunday","July",16
